datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2024-09-20 20:00:00,1726876800000,0.5849389522523643,ripple,usd,33011549162.039215,1403359787.9714298
2024-09-21 20:00:00,1726963200000,0.5979982229214985,ripple,usd,33764665008.627327,1078170702.8553727
2024-09-22 20:00:00,1727049600000,0.5879476818374326,ripple,usd,33168320660.640076,992887707.356122
2024-09-23 20:00:00,1727136000000,0.585063893554206,ripple,usd,33022282573.37144,1121279489.7439432
2024-09-24 20:00:00,1727222400000,0.5914408518035444,ripple,usd,33380934130.37941,1227141705.7935853
2024-09-25 20:00:00,1727308800000,0.5838949675172452,ripple,usd,32965388380.210888,1184864675.7010186
2024-09-26 20:00:00,1727395200000,0.590001948405351,ripple,usd,33338294387.037434,1320296148.7263632
2024-09-27 20:00:00,1727481600000,0.5891149844820397,ripple,usd,33329346797.44249,1401603759.7256885
2024-09-28 20:00:00,1727568000000,0.6150093639492326,ripple,usd,34786926383.63196,2770313435.4847174
2024-09-29 20:00:00,1727654400000,0.6425919277698904,ripple,usd,36340530782.95552,2594472533.021398
2024-09-30 20:00:00,1727740800000,0.6119339379239672,ripple,usd,34688823292.79782,2572233994.51974
2024-10-01 20:00:00,1727827200000,0.5974675047314544,ripple,usd,33843017507.639935,3132237056.7574463
2024-10-02 20:00:00,1727913600000,0.5388310673967639,ripple,usd,30482283203.95177,2854956361.2907157
2024-10-03 20:00:00,1728000000000,0.5216590897682057,ripple,usd,29492016906.451572,2514792835.7085347
2024-10-04 20:00:00,1728086400000,0.5347464951856385,ripple,usd,30241736953.735302,1756699967.6584756
2024-10-05 20:00:00,1728172800000,0.529571423116506,ripple,usd,29950127382.310875,704787690.747097
2024-10-06 20:00:00,1728259200000,0.5331799843165047,ripple,usd,30163957726.921448,661126866.850374
2024-10-07 20:00:00,1728345600000,0.5298164990025274,ripple,usd,29991350948.888397,1457223446.3666434
2024-10-08 20:00:00,1728432000000,0.5304632864784646,ripple,usd,30047537648.119553,981211616.0414958
2024-10-09 20:00:00,1728518400000,0.5241586802763855,ripple,usd,29716396937.686356,988344201.3982462
